Municipio,Codigo ,Total
Nova Olinda,  1 714 880 ,   10 367
Nova Rosalândia,  1 715 002 ,   3 362
Novo Acordo,  1 715 101 ,   3 969
Novo Alegre,  1 715 150 ,   1 846
Novo Jardim,  1 715 259 ,   2 230
Oliveira de Fátima,  1 715 507 ,   1 164
Palmeirante,  1 715 705 ,   4 798
Palmeirópolis,  1 715 754 ,   6 975
Paraíso do Tocantins,  1 716 109 ,   52 360
Paranã,  1 716 208 ,   10 542
Pau D'Arco,  1 716 307 ,   4 043
Pedro Afonso,  1 716 505 ,   14 055
Peixe,  1 716 604 ,   9 317
Pequizeiro,  1 716 653 ,   4 921
Colméia,  1 716 703 ,   8 941
Pindorama do Tocantins,  1 717 008 ,   4 478
Piraquê,  1 717 206 ,   2 282
Pium,  1 717 503 ,   7 128
Ponte Alta do Bom Jesus,  1 717 800 ,   4 220
Ponte Alta do Tocantins,  1 717 909 ,   7 586
Porto Alegre do Tocantins,  1 718 006 ,   2 866
Porto Nacional,  1 718 204 ,   64 418
Praia Norte,  1 718 303 ,   9 044
Presidente Kennedy,  1 718 402 ,   3 047
Pugmil,  1 718 451 ,   2 193
Recursolândia,  1 718 501 ,   3 421
Riachinho,  1 718 550 ,   3 960
Rio da Conceição,  1 718 659 ,   1 768
Rio dos Bois,  1 718 709 ,   2 738
Rio Sono,  1 718 758 ,   4 841
Sampaio,  1 718 808 ,   4 215
Sandolândia,  1 718 840 ,   3 723
Santa Fé do Araguaia,  1 718 865 ,   7 216
Santa Maria do Tocantins,  1 718 881 ,   2 680
Santa Rita do Tocantins,  1 718 899 ,   2 219
Santa Rosa do Tocantins,  1 718 907 ,   4 653
Santa Tereza do Tocantins,  1 719 004 ,   2 781
Santa Terezinha do Tocantins,  1 720 002 ,   2 406
São Bento do Tocantins,  1 720 101 ,   5 654
São Félix do Tocantins,  1 720 150 ,   1 783
São Miguel do Tocantins,  1 720 200 ,   13 241
São Salvador do Tocantins,  1 720 259 ,   2 385
São Sebastião do Tocantins,  1 720 309 ,   4 100
São Valério,  1 720 499 ,   4 422
Silvanópolis,  1 720 655 ,   5 108
Sítio Novo do Tocantins,  1 720 804 ,   10 830
Sucupira,  1 720 853 ,   1 577
Taguatinga,  1 720 903 ,   14 011
Taipas do Tocantins,  1 720 937 ,   2 021
Talismã,  1 720 978 ,   2 456
Palmas,  1 721 000 ,   302 692
Tocantínia,  1 721 109 ,   7 459
Tocantinópolis,  1 721 208 ,   22 615
Tupirama,  1 721 257 ,   1 909
Tupiratins,  1 721 307 ,   1 874
Wanderlândia,  1 722 081 ,   10 522
Xambioá,  1 722 107 ,   10 517
Açailândia,  2 100 055 ,   106 550
Afonso Cunha,  2 100 105 ,   6 144
Água Doce do Maranhão,  2 100 154 ,   12 142
Alcântara,  2 100 204 ,   18 467
Aldeias Altas,  2 100 303 ,   23 286
Altamira do Maranhão,  2 100 402 ,   6 447
Alto Alegre do Maranhão,  2 100 436 ,   24 048
Alto Alegre do Pindaré,  2 100 477 ,   25 710
Alto Parnaíba,  2 100 501 ,   11 109
Amapá do Maranhão,  2 100 550 ,   7 170
Amarante do Maranhão,  2 100 600 ,   37 085
Anajatuba,  2 100 709 ,   25 322
Anapurus,  2 100 808 ,   13 793
Apicum-Açu,  2 100 832 ,   17 519
Araguanã,  2 100 873 ,   11 181
Araioses,  2 100 907 ,   39 052
Arame,  2 100 956 ,   25 517
Arari,  2 101 004 ,   29 472
Axixá,  2 101 103 ,   11 790
Bacabal,  2 101 202 ,   103 711
Bacabeira,  2 101 251 ,   16 966
Bacuri,  2 101 301 ,   16 290
Bacurituba,  2 101 350 ,   5 252
Balsas,  2 101 400 ,   101 767
Barão de Grajaú,  2 101 509 ,   18 984
Barra do Corda,  2 101 608 ,   84 532
Barreirinhas,  2 101 707 ,   65 589
Belágua,  2 101 731 ,   8 460
Bela Vista do Maranhão,  2 101 772 ,   11 750
Benedito Leite,  2 101 806 ,   5 469
Bequimão,  2 101 905 ,   19 584
Bernardo do Mearim,  2 101 939 ,   5 840
Boa Vista do Gurupi,  2 101 970 ,   7 574
Bom Jardim,  2 102 002 ,   33 100
Bom Jesus das Selvas,  2 102 036 ,   28 599
Bom Lugar,  2 102 077 ,   12 212
Brejo,  2 102 101 ,   34 120
Brejo de Areia,  2 102 150 ,   9 218
Buriti,  2 102 200 ,   29 685
Buriti Bravo,  2 102 309 ,   22 455
Buriticupu,  2 102 325 ,   55 499
Buritirana,  2 102 358 ,   12 918
Cachoeira Grande,  2 102 374 ,   9 732
Cajapió,  2 102 408 ,   10 121
Cajari,  2 102 507 ,   16 412
Campestre do Maranhão,  2 102 556 ,   12 301
Cândido Mendes,  2 102 606 ,   19 932
Cantanhede,  2 102 705 ,   24 303
Capinzal do Norte,  2 102 754 ,   11 374
Carolina,  2 102 804 ,   24 062
Carutapera,  2 102 903 ,   24 238
Caxias,  2 103 000 ,   156 973
Cedral,  2 103 109 ,   10 208
Central do Maranhão,  2 103 125 ,   7 094
Centro do Guilherme,  2 103 158 ,   12 342
Centro Novo do Maranhão,  2 103 174 ,   16 267
Chapadinha,  2 103 208 ,   81 386
Cidelândia,  2 103 257 ,   12 878
Codó,  2 103 307 ,   114 275
Coelho Neto,  2 103 406 ,   41 658
Colinas,  2 103 505 ,   40 316
Conceição do Lago-Açu,  2 103 554 ,   14 915
Coroatá,  2 103 604 ,   59 566
Cururupu,  2 103 703 ,   31 558
Davinópolis,  2 103 752 ,   14 404
Dom Pedro,  2 103 802 ,   23 053
Duque Bacelar,  2 103 901 ,   10 223
Esperantinópolis,  2 104 008 ,   18 311
Estreito,  2 104 057 ,   33 294
Feira Nova do Maranhão,  2 104 073 ,   8 048
Fernando Falcão,  2 104 081 ,   10 873
Formosa da Serra Negra,  2 104 099 ,   17 719
Fortaleza dos Nogueiras,  2 104 107 ,   12 640
Fortuna,  2 104 206 ,   16 976
Godofredo Viana,  2 104 305 ,   10 186
Gonçalves Dias,  2 104 404 ,   17 206
Governador Archer,  2 104 503 ,   10 231
Governador Edison Lobão,  2 104 552 ,   18 411
Governador Eugênio Barros,  2 104 602 ,   13 930
Governador Luiz Rocha,  2 104 628 ,   7 063
