Municipio,Codigo ,Total
Rochedo de Minas,  3 156 205 ,   2 291
Rodeiro,  3 156 304 ,   8 664
Romaria,  3 156 403 ,   3 386
Rosário da Limeira,  3 156 452 ,   4 734
Rubelita,  3 156 502 ,   5 679
Rubim,  3 156 601 ,   10 298
Sabará,  3 156 700 ,   129 380
Sabinópolis,  3 156 809 ,   14 240
Sacramento,  3 156 908 ,   26 670
Salinas,  3 157 005 ,   40 178
Salto da Divisa,  3 157 104 ,   6 110
Santa Bárbara,  3 157 203 ,   30 466
Santa Bárbara do Leste,  3 157 252 ,   8 458
Santa Bárbara do Monte Verde,  3 157 278 ,   3 095
Santa Bárbara do Tugúrio,  3 157 302 ,   4 208
Santa Cruz de Minas,  3 157 336 ,   8 109
Santa Cruz de Salinas,  3 157 377 ,   3 910
Santa Cruz do Escalvado,  3 157 401 ,   4 673
Santa Efigênia de Minas,  3 157 500 ,   4 039
Santa Fé de Minas,  3 157 609 ,   3 522
Santa Helena de Minas,  3 157 658 ,   5 938
Santa Juliana,  3 157 708 ,   15 734
Santa Luzia,  3 157 807 ,   219 132
Santa Margarida,  3 157 906 ,   16 395
Santa Maria de Itabira,  3 158 003 ,   10 485
Santa Maria do Salto,  3 158 102 ,   4 755
Santa Maria do Suaçuí,  3 158 201 ,   12 788
Santana da Vargem,  3 158 300 ,   6 691
Santana de Cataguases,  3 158 409 ,   3 489
Santana de Pirapama,  3 158 508 ,   7 030
Santana do Deserto,  3 158 607 ,   3 747
Santana do Garambéu,  3 158 706 ,   2 137
Santana do Jacaré,  3 158 805 ,   4 214
Santana do Manhuaçu,  3 158 904 ,   8 987
Santana do Paraíso,  3 158 953 ,   44 800
Santana do Riacho,  3 159 001 ,   5 313
Santana dos Montes,  3 159 100 ,   3 469
Santa Rita de Caldas,  3 159 209 ,   8 460
Santa Rita de Jacutinga,  3 159 308 ,   4 755
Santa Rita de Minas,  3 159 357 ,   6 773
Santa Rita de Ibitipoca,  3 159 407 ,   3 301
Santa Rita do Itueto,  3 159 506 ,   5 826
Santa Rita do Sapucaí,  3 159 605 ,   40 635
Santa Rosa da Serra,  3 159 704 ,   3 382
Santa Vitória,  3 159 803 ,   20 973
Santo Antônio do Amparo,  3 159 902 ,   17 285
Santo Antônio do Aventureiro,  3 160 009 ,   3 769
Santo Antônio do Grama,  3 160 108 ,   4 229
Santo Antônio do Itambé,  3 160 207 ,   3 915
Santo Antônio do Jacinto,  3 160 306 ,   10 327
Santo Antônio do Monte,  3 160 405 ,   27 295
Santo Antônio do Retiro,  3 160 454 ,   6 629
Santo Antônio do Rio Abaixo,  3 160 504 ,   1 808
Santo Hipólito,  3 160 603 ,   2 717
Santos Dumont,  3 160 702 ,   42 406
São Bento Abade,  3 160 801 ,   4 713
São Brás do Suaçuí,  3 160 900 ,   3 989
São Domingos das Dores,  3 160 959 ,   5 626
São Domingos do Prata,  3 161 007 ,   17 392
São Félix de Minas,  3 161 056 ,   3 200
São Francisco,  3 161 106 ,   52 762
São Francisco de Paula,  3 161 205 ,   6 187
São Francisco de Sales,  3 161 304 ,   5 732
São Francisco do Glória,  3 161 403 ,   4 800
São Geraldo,  3 161 502 ,   10 282
São Geraldo da Piedade,  3 161 601 ,   3 305
São Geraldo do Baixio,  3 161 650 ,   3 143
São Gonçalo do Abaeté,  3 161 700 ,   7 375
São Gonçalo do Pará,  3 161 809 ,   11 770
São Gonçalo do Rio Abaixo,  3 161 908 ,   11 850
São Gonçalo do Sapucaí,  3 162 005 ,   23 959
São Gotardo,  3 162 104 ,   40 910
São João Batista do Glória,  3 162 203 ,   7 652
São João da Lagoa,  3 162 252 ,   4 822
São João da Mata,  3 162 302 ,   2 914
São João da Ponte,  3 162 401 ,   23 930
São João das Missões,  3 162 450 ,   13 024
São João del Rei,  3 162 500 ,   90 225
São João do Manhuaçu,  3 162 559 ,   11 246
São João do Manteninha,  3 162 575 ,   5 331
São João do Oriente,  3 162 609 ,   7 070
São João do Pacuí,  3 162 658 ,   3 972
São João do Paraíso,  3 162 708 ,   23 910
São João Evangelista,  3 162 807 ,   15 315
São João Nepomuceno,  3 162 906 ,   25 565
São Joaquim de Bicas,  3 162 922 ,   34 348
São José da Barra,  3 162 948 ,   7 793
São José da Lapa,  3 162 955 ,   26 090
São José da Safira,  3 163 003 ,   3 806
São José da Varginha,  3 163 102 ,   4 536
São José do Alegre,  3 163 201 ,   4 133
São José do Divino,  3 163 300 ,   3 464
São José do Goiabal,  3 163 409 ,   5 396
São José do Jacuri,  3 163 508 ,   6 197
São José do Mantimento,  3 163 607 ,   2 753
São Lourenço,  3 163 706 ,   44 798
São Miguel do Anta,  3 163 805 ,   6 334
São Pedro da União,  3 163 904 ,   4 885
São Pedro dos Ferros,  3 164 001 ,   7 166
São Pedro do Suaçuí,  3 164 100 ,   5 103
São Romão,  3 164 209 ,   10 315
São Roque de Minas,  3 164 308 ,   7 129
São Sebastião da Bela Vista,  3 164 407 ,   6 387
São Sebastião da Vargem Alegre,  3 164 431 ,   3 113
São Sebastião do Anta,  3 164 472 ,   6 194
São Sebastião do Maranhão,  3 164 506 ,   10 079
São Sebastião do Oeste,  3 164 605 ,   8 815
São Sebastião do Paraíso,  3 164 704 ,   71 796
São Sebastião do Rio Preto,  3 164 803 ,   1 259
São Sebastião do Rio Verde,  3 164 902 ,   2 300
São Tiago,  3 165 008 ,   11 192
São Tomás de Aquino,  3 165 107 ,   6 740
São Tomé das Letras,  3 165 206 ,   6 904
São Vicente de Minas,  3 165 305 ,   6 804
Sapucaí-Mirim,  3 165 404 ,   6 311
Sardoá,  3 165 503 ,   5 104
Sarzedo,  3 165 537 ,   36 844
Setubinha,  3 165 552 ,   9 917
Sem-Peixe,  3 165 560 ,   2 433
Senador Amaral,  3 165 578 ,   6 206
Senador Cortes,  3 165 602 ,   2 240
Senador Firmino,  3 165 701 ,   7 716
Senador José Bento,  3 165 800 ,   2 068
Senador Modestino Gonçalves,  3 165 909 ,   4 008
Senhora de Oliveira,  3 166 006 ,   5 483
Senhora do Porto,  3 166 105 ,   3 067
Senhora dos Remédios,  3 166 204 ,   10 384
Sericita,  3 166 303 ,   7 345
Seritinga,  3 166 402 ,   1 819
Serra Azul de Minas,  3 166 501 ,   3 792
Serra da Saudade,  3 166 600 ,833
Serra dos Aimorés,  3 166 709 ,   6 944
Serra do Salitre,  3 166 808 ,   11 801
Serrania,  3 166 907 ,   7 621
Serranópolis de Minas,  3 166 956 ,   4 399
Serranos,  3 167 004 ,   1 990
Serro,  3 167 103 ,   21 952
Sete Lagoas,  3 167 202 ,   227 397
Silveirânia,  3 167 301 ,   2 323
Silvianópolis,  3 167 400 ,   6 179
Simão Pereira,  3 167 509 ,   2 947
Simonésia,  3 167 608 ,   19 750
Sobrália,  3 167 707 ,   5 137
Soledade de Minas,  3 167 806 ,   5 613
Tabuleiro,  3 167 905 ,   4 014
Taiobeiras,  3 168 002 ,   33 050
Taparuba,  3 168 051 ,   3 387
Tapira,  3 168 101 ,   4 118
Tapiraí,  3 168 200 ,   1 690
Taquaraçu de Minas,  3 168 309 ,   4 224
Tarumirim,  3 168 408 ,   14 709
Teixeiras,  3 168 507 ,   12 255
Teófilo Otoni,  3 168 606 ,   137 418
Timóteo,  3 168 705 ,   81 579
Tiradentes,  3 168 804 ,   7 744
Tiros,  3 168 903 ,   7 883
Tocantins,  3 169 000 ,   16 185
Tocos do Moji,  3 169 059 ,   3 826
Toledo,  3 169 109 ,   7 214
Tombos,  3 169 208 ,   8 609
Três Corações,  3 169 307 ,   75 485
Três Marias,  3 169 356 ,   28 895
Três Pontas,  3 169 406 ,   55 255
Tumiritinga,  3 169 505 ,   5 886
Tupaciguara,  3 169 604 ,   25 470
Turmalina,  3 169 703 ,   20 000
Turvolândia,  3 169 802 ,   4 935
Ubá,  3 169 901 ,   103 365
Ubaí,  3 170 008 ,   11 708
Ubaporanga,  3 170 057 ,   13 017
Uberaba,  3 170 107 ,   337 836
Uberlândia,  3 170 206 ,   713 224
Umburatiba,  3 170 305 ,   2 684
Unaí,  3 170 404 ,   86 619
União de Minas,  3 170 438 ,   3 828
Uruana de Minas,  3 170 479 ,   3 282
Urucânia,  3 170 503 ,   10 600
Urucuia,  3 170 529 ,   17 479
Vargem Alegre,  3 170 578 ,   5 780
Vargem Bonita,  3 170 602 ,   2 158
Vargem Grande do Rio Pardo,  3 170 651 ,   4 633
Varginha,  3 170 701 ,   136 467
Varjão de Minas,  3 170 750 ,   6 969
Várzea da Palma,  3 170 800 ,   33 744
Varzelândia,  3 170 909 ,   18 840
Vazante,  3 171 006 ,   19 975
Verdelândia,  3 171 030 ,   7 672
Veredinha,  3 171 071 ,   5 181
Veríssimo,  3 171 105 ,   3 411
Vermelho Novo,  3 171 154 ,   4 899
Vespasiano,  3 171 204 ,   129 246
Viçosa,  3 171 303 ,   76 430
Vieiras,  3 171 402 ,   3 700
Mathias Lobato,  3 171 501 ,   3 038
Virgem da Lapa,  3 171 600 ,   11 804
Virgínia,  3 171 709 ,   8 908
Virginópolis,  3 171 808 ,   10 314
Virgolândia,  3 171 907 ,   4 552
Visconde do Rio Branco,  3 172 004 ,   39 160
Volta Grande,  3 172 103 ,   4 443
Wenceslau Braz,  3 172 202 ,   2 356
Afonso Cláudio,  3 200 102 ,   30 684
Águia Branca,  3 200 136 ,   9 711
Água Doce do Norte,  3 200 169 ,   12 042
Alegre,  3 200 201 ,   29 177
Alfredo Chaves,  3 200 300 ,   13 836
Alto Rio Novo,  3 200 359 ,   7 434
Anchieta,  3 200 409 ,   29 984
Apiacá,  3 200 508 ,   7 223
Aracruz,  3 200 607 ,   94 765
Atílio Vivácqua,  3 200 706 ,   10 540
Baixo Guandu,  3 200 805 ,   30 674
Barra de São Francisco,  3 200 904 ,   42 498
Boa Esperança,  3 201 001 ,   13 608
Bom Jesus do Norte,  3 201 100 ,   10 254
Brejetuba,  3 201 159 ,   12 985
Cachoeiro de Itapemirim,  3 201 209 ,   185 786
Cariacica,  3 201 308 ,   353 491
Castelo,  3 201 407 ,   36 930
Colatina,  3 201 506 ,   120 033
Conceição da Barra,  3 201 605 ,   27 458
Conceição do Castelo,  3 201 704 ,   11 937
Divino de São Lourenço,  3 201 803 ,   5 083
Domingos Martins,  3 201 902 ,   35 416
Dores do Rio Preto,  3 202 009 ,   6 596
Ecoporanga,  3 202 108 ,   21 992
Fundão,  3 202 207 ,   18 014
Governador Lindenberg,  3 202 256 ,   11 009
Guaçuí,  3 202 306 ,   29 358
Guarapari,  3 202 405 ,   124 656
Ibatiba,  3 202 454 ,   25 380
Ibiraçu,  3 202 504 ,   11 723
Ibitirama,  3 202 553 ,   9 520
Iconha,  3 202 603 ,   12 326
Irupi,  3 202 652 ,   13 710
Itaguaçu,  3 202 702 ,   13 589
Itapemirim,  3 202 801 ,   39 832
Itarana,  3 202 900 ,   10 597
Iúna,  3 203 007 ,   28 590
Jaguaré,  3 203 056 ,   28 931
Jerônimo Monteiro,  3 203 106 ,   11 575
João Neiva,  3 203 130 ,   14 079
Laranja da Terra,  3 203 163 ,   11 094
Linhares,  3 203 205 ,   166 786
Mantenópolis,  3 203 304 ,   12 770
Marataízes,  3 203 320 ,   41 929
Marechal Floriano,  3 203 346 ,   17 641
Marilândia,  3 203 353 ,   12 387
Mimoso do Sul,  3 203 403 ,   24 475
Montanha,  3 203 502 ,   18 900
Mucurici,  3 203 601 ,   5 466
Muniz Freire,  3 203 700 ,   18 153
Muqui,  3 203 809 ,   13 745
Nova Venécia,  3 203 908 ,   49 065
Pancas,  3 204 005 ,   18 893
Pedro Canário,  3 204 054 ,   21 522
Pinheiros,  3 204 104 ,   23 915
Piúma,  3 204 203 ,   22 300
Ponto Belo,  3 204 252 ,   6 497
Presidente Kennedy,  3 204 302 ,   13 696
Rio Bananal,  3 204 351 ,   19 274
Rio Novo do Sul,  3 204 401 ,   11 069
Santa Leopoldina,  3 204 500 ,   13 106
Santa Maria de Jetibá,  3 204 559 ,   41 636
Santa Teresa,  3 204 609 ,   22 808
São Domingos do Norte,  3 204 658 ,   8 589
São Gabriel da Palha,  3 204 708 ,   32 252
São José do Calçado,  3 204 807 ,   10 878
São Mateus,  3 204 906 ,   123 752
São Roque do Canaã,  3 204 955 ,   10 886
Serra,  3 205 002 ,   520 653
Sooretama,  3 205 010 ,   26 502
Vargem Alta,  3 205 036 ,   19 563
Venda Nova do Imigrante,  3 205 069 ,   23 831
Viana,  3 205 101 ,   73 423
Vila Pavão,  3 205 150 ,   8 911
Vila Valério,  3 205 176 ,   13 728
Vila Velha,  3 205 200 ,   467 722
Vitória,  3 205 309 ,   322 869
Angra dos Reis,  3 300 100 ,   167 434
Aperibé,  3 300 159 ,   11 034
Araruama,  3 300 209 ,   129 671
Areal,  3 300 225 ,   11 828
Armação dos Búzios,  3 300 233 ,   40 006
Arraial do Cabo,  3 300 258 ,   30 986
Barra do Piraí,  3 300 308 ,   92 883
Barra Mansa,  3 300 407 ,   169 894
Belford Roxo,  3 300 456 ,   483 087
Bom Jardim,  3 300 506 ,   28 102
Bom Jesus do Itabapoana,  3 300 605 ,   35 173
Cabo Frio,  3 300 704 ,   222 161
Cachoeiras de Macacu,  3 300 803 ,   56 943
Cambuci,  3 300 902 ,   14 616
Carapebus,  3 300 936 ,   13 847
Comendador Levy Gasparian,  3 300 951 ,   8 741
Campos dos Goytacazes,  3 301 009 ,   483 540
Cantagalo,  3 301 108 ,   19 390
Cardoso Moreira,  3 301 157 ,   12 958
Carmo,  3 301 207 ,   17 198
Casimiro de Abreu,  3 301 306 ,   46 110
Conceição de Macabu,  3 301 405 ,   21 104
Cordeiro,  3 301 504 ,   20 783
Duas Barras,  3 301 603 ,   10 980
Duque de Caxias,  3 301 702 ,   808 161
Engenheiro Paulo de Frontin,  3 301 801 ,   12 242
Guapimirim,  3 301 850 ,   51 696
Iguaba Grande,  3 301 876 ,   27 920
Itaboraí,  3 301 900 ,   224 267
Itaguaí,  3 302 007 ,   116 841
Italva,  3 302 056 ,   14 073
Itaocara,  3 302 106 ,   22 919
Itaperuna,  3 302 205 ,   101 041
Itatiaia,  3 302 254 ,   30 908
Japeri,  3 302 270 ,   96 289
Laje do Muriaé,  3 302 304 ,   7 336
Macaé,  3 302 403 ,   246 391
Macuco,  3 302 452 ,   5 415
Magé,  3 302 502 ,   228 127
Mangaratiba,  3 302 601 ,   41 220
Maricá,  3 302 700 ,   197 277
Mendes,  3 302 809 ,   17 502
Mesquita,  3 302 858 ,   167 127
Miguel Pereira,  3 302 908 ,   26 582
Miracema,  3 303 005 ,   26 881
Natividade,  3 303 104 ,   15 074
Nilópolis,  3 303 203 ,   146 774
Niterói,  3 303 302 ,   481 749
Nova Friburgo,  3 303 401 ,   189 939
Nova Iguaçu,  3 303 500 ,   785 867
Paracambi,  3 303 609 ,   41 375
Paraíba do Sul,  3 303 708 ,   42 063
Paraty,  3 303 807 ,   45 243
Paty do Alferes,  3 303 856 ,   29 619
Petrópolis,  3 303 906 ,   278 881
Pinheiral,  3 303 955 ,   24 298
Piraí,  3 304 003 ,   27 474
Porciúncula,  3 304 102 ,   17 288
Porto Real,  3 304 110 ,   20 373
Quatis,  3 304 128 ,   13 682
Queimados,  3 304 144 ,   140 523
Quissamã,  3 304 151 ,   22 393
Resende,  3 304 201 ,   129 612
Rio Bonito,  3 304 300 ,   56 276
Rio Claro,  3 304 409 ,   17 401
Rio das Flores,  3 304 508 ,   8 954
Rio das Ostras,  3 304 524 ,   156 491
Rio de Janeiro,  3 304 557 ,  6 211 223
Santa Maria Madalena,  3 304 607 ,   10 232
Santo Antônio de Pádua,  3 304 706 ,   41 325
São Francisco de Itabapoana,  3 304 755 ,   45 059
São Fidélis,  3 304 805 ,   38 961
São Gonçalo,  3 304 904 ,   896 744
São João da Barra,  3 305 000 ,   36 573
São João de Meriti,  3 305 109 ,   440 962
São José de Ubá,  3 305 133 ,   7 070
São José do Vale do Rio Preto,  3 305 158 ,   22 080
São Pedro da Aldeia,  3 305 208 ,   104 029
São Sebastião do Alto,  3 305 307 ,   7 750
Sapucaia,  3 305 406 ,   17 729
Saquarema,  3 305 505 ,   89 559
Seropédica,  3 305 554 ,   80 596
Silva Jardim,  3 305 604 ,   21 352
Sumidouro,  3 305 703 ,   15 206
Tanguá,  3 305 752 ,   31 086
Teresópolis,  3 305 802 ,   165 123
Trajano de Moraes,  3 305 901 ,   10 302
Três Rios,  3 306 008 ,   78 346
Valença,  3 306 107 ,   68 088
Varre-Sai,  3 306 156 ,   10 207
Vassouras,  3 306 206 ,   33 976
Volta Redonda,  3 306 305 ,   261 563
Adamantina,  3 500 105 ,   34 687
Adolfo,  3 500 204 ,   4 351
Aguaí,  3 500 303 ,   32 072
Águas da Prata,  3 500 402 ,   7 369
Águas de Lindóia,  3 500 501 ,   17 930
Águas de Santa Bárbara,  3 500 550 ,   7 177
Águas de São Pedro,  3 500 600 ,   2 780
Agudos,  3 500 709 ,   37 680
Alambari,  3 500 758 ,   6 141
Alfredo Marcondes,  3 500 808 ,   4 445
Altair,  3 500 907 ,   3 451
Altinópolis,  3 501 004 ,   16 818
Alto Alegre,  3 501 103 ,   3 841
Alumínio,  3 501 152 ,   17 301
Álvares Florence,  3 501 202 ,   3 915
Álvares Machado,  3 501 301 ,   27 255
Álvaro de Carvalho,  3 501 400 ,   4 808
Alvinlândia,  3 501 509 ,   2 885
Americana,  3 501 608 ,   237 240
Américo Brasiliense,  3 501 707 ,   33 019
Américo de Campos,  3 501 806 ,   5 870
Amparo,  3 501 905 ,   68 008
Analândia,  3 502 002 ,   4 589
Andradina,  3 502 101 ,   59 783
Angatuba,  3 502 200 ,   24 022
Anhembi,  3 502 309 ,   5 674
Anhumas,  3 502 408 ,   4 023
Aparecida,  3 502 507 ,   32 569
Aparecida d'Oeste,  3 502 606 ,   4 086
Apiaí,  3 502 705 ,   24 585
Araçariguama,  3 502 754 ,   21 522
Araçatuba,  3 502 804 ,   200 124
Araçoiaba da Serra,  3 502 903 ,   32 443
Aramina,  3 503 000 ,   5 420
Arandu,  3 503 109 ,   6 885
Arapeí,  3 503 158 ,   2 330
Araraquara,  3 503 208 ,   242 228
Araras,  3 503 307 ,   130 866
Arco-Íris,  3 503 356 ,   2 044
Arealva,  3 503 406 ,   8 130
Areias,  3 503 505 ,   3 577
Areiópolis,  3 503 604 ,   10 130
Ariranha,  3 503 703 ,   7 602
Artur Nogueira,  3 503 802 ,   51 456
Arujá,  3 503 901 ,   86 678
Aspásia,  3 503 950 ,   1 842
Assis,  3 504 008 ,   101 409
Atibaia,  3 504 107 ,   158 647
Auriflama,  3 504 206 ,   13 692
Avaí,  3 504 305 ,   4 483
Avanhandava,  3 504 404 ,   11 263
Avaré,  3 504 503 ,   92 805
Bady Bassitt,  3 504 602 ,   27 260
Balbinos,  3 504 701 ,   3 887
Bálsamo,  3 504 800 ,   9 596
Bananal,  3 504 909 ,   9 969
Barão de Antonina,  3 505 005 ,   3 531
Barbosa,  3 505 104 ,   5 640
Bariri,  3 505 203 ,   31 595
Barra Bonita,  3 505 302 ,   34 346
Barra do Chapéu,  3 505 351 ,   5 179
Barra do Turvo,  3 505 401 ,   6 876
Barretos,  3 505 500 ,   122 485
Barrinha,  3 505 609 ,   32 092
Barueri,  3 505 708 ,   316 473
Bastos,  3 505 807 ,   21 503
Batatais,  3 505 906 ,   58 402
Bauru,  3 506 003 ,   379 146
Bebedouro,  3 506 102 ,   76 373
Bento de Abreu,  3 506 201 ,   2 606
Bernardino de Campos,  3 506 300 ,   11 607
Bertioga,  3 506 359 ,   64 188
Bilac,  3 506 409 ,   7 319
Birigui,  3 506 508 ,   118 979
Biritiba Mirim,  3 506 607 ,   29 683
Boa Esperança do Sul,  3 506 706 ,   12 978
Bocaina,  3 506 805 ,   11 259
Bofete,  3 506 904 ,   10 460
Boituva,  3 507 001 ,   61 081
Bom Jesus dos Perdões,  3 507 100 ,   22 006
Bom Sucesso de Itararé,  3 507 159 ,   3 555
Borá,  3 507 209 ,907
Boracéia,  3 507 308 ,   4 715
Borborema,  3 507 407 ,   14 226
Borebi,  3 507 456 ,   2 713
Botucatu,  3 507 506 ,   145 155
Bragança Paulista,  3 507 605 ,   176 811
Braúna,  3 507 704 ,   5 356
Brejo Alegre,  3 507 753 ,   2 565
Brodowski,  3 507 803 ,   25 201
Brotas,  3 507 902 ,   23 898
Buri,  3 508 009 ,   20 250
Buritama,  3 508 108 ,   17 210
Buritizal,  3 508 207 ,   4 356
Cabrália Paulista,  3 508 306 ,   4 299
Cabreúva,  3 508 405 ,   47 011
Caçapava,  3 508 504 ,   96 202
Cachoeira Paulista,  3 508 603 ,   31 564
Caconde,  3 508 702 ,   17 101
Cafelândia,  3 508 801 ,   16 654
Caiabu,  3 508 900 ,   3 712
Caieiras,  3 509 007 ,   95 032
Caiuá,  3 509 106 ,   5 466
Cajamar,  3 509 205 ,   92 689
Cajati,  3 509 254 ,   28 515
Cajobi,  3 509 304 ,   9 133
Cajuru,  3 509 403 ,   23 830
Campina do Monte Alegre,  3 509 452 ,   5 954
Campinas,  3 509 502 ,  1 139 047
Campo Limpo Paulista,  3 509 601 ,   77 632
Campos do Jordão,  3 509 700 ,   46 974
Campos Novos Paulista,  3 509 809 ,   4 888
Cananéia,  3 509 908 ,   12 289
Canas,  3 509 957 ,   4 931
Cândido Mota,  3 510 005 ,   29 449
Cândido Rodrigues,  3 510 104 ,   2 889
Canitar,  3 510 153 ,   6 283
Capão Bonito,  3 510 203 ,   46 337
Capela do Alto,  3 510 302 ,   22 866
Capivari,  3 510 401 ,   50 068
Caraguatatuba,  3 510 500 ,   134 873
Carapicuíba,  3 510 609 ,   386 984
Cardoso,  3 510 708 ,   11 345
Casa Branca,  3 510 807 ,   28 083
Cássia dos Coqueiros,  3 510 906 ,   2 799
Castilho,  3 511 003 ,   19 977
Catanduva,  3 511 102 ,   115 791
Catiguá,  3 511 201 ,   7 003
Cedral,  3 511 300 ,   12 618
Cerqueira César,  3 511 409 ,   21 469
Cerquilho,  3 511 508 ,   44 695
Cesário Lange,  3 511 607 ,   19 048
Charqueada,  3 511 706 ,   15 535
Clementina,  3 511 904 ,   6 982
Colina,  3 512 001 ,   18 486
Colômbia,  3 512 100 ,   6 629
Conchal,  3 512 209 ,   28 101
Conchas,  3 512 308 ,   15 232
Cordeirópolis,  3 512 407 ,   24 514
Coroados,  3 512 506 ,   5 400
Coronel Macedo,  3 512 605 ,   4 280
Corumbataí,  3 512 704 ,   4 195
Cosmópolis,  3 512 803 ,   59 773
Cosmorama,  3 512 902 ,   8 719
Cotia,  3 513 009 ,   274 413
Cravinhos,  3 513 108 ,   33 281
Cristais Paulista,  3 513 207 ,   9 272
Cruzália,  3 513 306 ,   2 108
Cruzeiro,  3 513 405 ,   74 961
Cubatão,  3 513 504 ,   112 476
Cunha,  3 513 603 ,   22 110
Descalvado,  3 513 702 ,   31 756
Diadema,  3 513 801 ,   393 237
Dirce Reis,  3 513 850 ,   1 620
Divinolândia,  3 513 900 ,   11 158
Dobrada,  3 514 007 ,   8 759
Dois Córregos,  3 514 106 ,   24 510
Dolcinópolis,  3 514 205 ,   2 207
Dourado,  3 514 304 ,   8 096
Dracena,  3 514 403 ,   45 474
Duartina,  3 514 502 ,   12 328
Dumont,  3 514 601 ,   9 471
Echaporã,  3 514 700 ,   6 205
Eldorado,  3 514 809 ,   13 069
Elias Fausto,  3 514 908 ,   17 699
Elisiário,  3 514 924 ,   3 138
Embaúba,  3 514 957 ,   2 323
Embu das Artes,  3 515 004 ,   250 691
Embu-Guaçu,  3 515 103 ,   66 970
Emilianópolis,  3 515 129 ,   3 014
Engenheiro Coelho,  3 515 152 ,   19 566
Espírito Santo do Pinhal,  3 515 186 ,   39 816
Espírito Santo do Turvo,  3 515 194 ,   4 157
Estrela d'Oeste,  3 515 202 ,   9 417
Estrela do Norte,  3 515 301 ,   2 703
Euclides da Cunha Paulista,  3 515 350 ,   7 924
Fartura,  3 515 400 ,   16 641
Fernandópolis,  3 515 509 ,   71 186
Fernando Prestes,  3 515 608 ,   5 942
Fernão,  3 515 657 ,   1 656
Ferraz de Vasconcelos,  3 515 707 ,   179 198
Flora Rica,  3 515 806 ,   1 487
Floreal,  3 515 905 ,   2 733
Flórida Paulista,  3 516 002 ,   12 958
Florínea,  3 516 101 ,   3 851
Franca,  3 516 200 ,   352 536
Francisco Morato,  3 516 309 ,   165 139
Franco da Rocha,  3 516 408 ,   144 849
Gabriel Monteiro,  3 516 507 ,   2 763
Gália,  3 516 606 ,   6 380
Garça,  3 516 705 ,   42 110
Gastão Vidigal,  3 516 804 ,   3 252
Gavião Peixoto,  3 516 853 ,   4 702
General Salgado,  3 516 903 ,   10 312
Getulina,  3 517 000 ,   10 232
Glicério,  3 517 109 ,   4 138
Guaiçara,  3 517 208 ,   11 239
Guaimbê,  3 517 307 ,   5 512
Guaíra,  3 517 406 ,   39 279
Guapiaçu,  3 517 505 ,   21 711
Guapiara,  3 517 604 ,   17 071
Guará,  3 517 703 ,   18 606
Guaraçaí,  3 517 802 ,   7 441
Guaraci,  3 517 901 ,   10 350
Guarani d'Oeste,  3 518 008 ,   1 968
Guarantã,  3 518 107 ,   6 427
Guararapes,  3 518 206 ,   31 043
Guararema,  3 518 305 ,   31 236
Guaratinguetá,  3 518 404 ,   118 044
Guareí,  3 518 503 ,   15 013
Guariba,  3 518 602 ,   37 498
Guarujá,  3 518 701 ,   287 634
Guarulhos,  3 518 800 ,  1 291 771
Guatapará,  3 518 859 ,   7 320
Guzolândia,  3 518 909 ,   4 246
Herculândia,  3 519 006 ,   9 125
Holambra,  3 519 055 ,   15 094
Hortolândia,  3 519 071 ,   236 641
Iacanga,  3 519 105 ,   10 437
Iacri,  3 519 204 ,   6 131
Iaras,  3 519 253 ,   8 010
Ibaté,  3 519 303 ,   32 178
Ibirá,  3 519 402 ,   11 690
Ibirarema,  3 519 501 ,   6 385
Ibitinga,  3 519 600 ,   60 033
Ibiúna,  3 519 709 ,   75 605
Icém,  3 519 808 ,   7 819
Iepê,  3 519 907 ,   7 619
Igaraçu do Tietê,  3 520 004 ,   23 106
Igarapava,  3 520 103 ,   26 212
Igaratá,  3 520 202 ,   10 605
Iguape,  3 520 301 ,   29 115
Ilhabela,  3 520 400 ,   34 934
Ilha Comprida,  3 520 426 ,   13 419
Ilha Solteira,  3 520 442 ,   25 549
Indaiatuba,  3 520 509 ,   255 748
Indiana,  3 520 608 ,   5 090
Indiaporã,  3 520 707 ,   4 035
Inúbia Paulista,  3 520 806 ,   3 615
Ipaussu,  3 520 905 ,   13 712
Iperó,  3 521 002 ,   36 459
Ipeúna,  3 521 101 ,   6 831
Ipiguá,  3 521 150 ,   6 761
Iporanga,  3 521 200 ,   4 046
Ipuã,  3 521 309 ,   14 454
Iracemápolis,  3 521 408 ,   21 967
Irapuã,  3 521 507 ,   6 867
Irapuru,  3 521 606 ,   7 085
Itaberá,  3 521 705 ,   17 983
Itaí,  3 521 804 ,   25 180
Itajobi,  3 521 903 ,   16 989
Itaju,  3 522 000 ,   3 618
Itanhaém,  3 522 109 ,   112 476
Itaoca,  3 522 158 ,   3 422
Itapecerica da Serra,  3 522 208 ,   158 522
Itapetininga,  3 522 307 ,   157 790
Itapeva,  3 522 406 ,   89 728
Itapevi,  3 522 505 ,   232 297
Itapira,  3 522 604 ,   72 022
Itapirapuã Paulista,  3 522 653 ,   4 306
Itápolis,  3 522 703 ,   39 493
Itaporanga,  3 522 802 ,   14 085
Itapuí,  3 522 901 ,   13 659
Itapura,  3 523 008 ,   3 979
Itaquaquecetuba,  3 523 107 ,   369 275
Itararé,  3 523 206 ,   44 438
Itariri,  3 523 305 ,   15 528
Itatiba,  3 523 404 ,   121 590
